,FC_measure,band,frm,to,r
294,aec,3-alfa,FC_subj03,FC_subj10,0.6671178509567879
295,plv,3-alfa,FC_subj03,FC_subj10,0.7285431570533223
296,aec,4-beta,FC_subj03,FC_subj10,0.518164023640691
297,plv,4-beta,FC_subj03,FC_subj10,0.7475476217873778
298,aec,5-gamma,FC_subj03,FC_subj10,0.6818768961043665
299,plv,5-gamma,FC_subj03,FC_subj10,0.7308333040127604
300,aec,1-delta,FC_subj04,.1973WilsonCowan,-0.02342558283838677
301,plv,1-delta,FC_subj04,.1973WilsonCowan,0.03318048267300814
302,aec,2-theta,FC_subj04,.1973WilsonCowan,0.033942812614177996
303,plv,2-theta,FC_subj04,.1973WilsonCowan,0.07273364763113407
304,aec,3-alfa,FC_subj04,.1973WilsonCowan,0.03552176185572837
305,plv,3-alfa,FC_subj04,.1973WilsonCowan,0.12184357146177
306,aec,4-beta,FC_subj04,.1973WilsonCowan,0.05857607320063875
307,plv,4-beta,FC_subj04,.1973WilsonCowan,0.1317976553877663
308,aec,5-gamma,FC_subj04,.1973WilsonCowan,0.045969972679588106
309,plv,5-gamma,FC_subj04,.1973WilsonCowan,0.0698792578030025
310,aec,1-delta,FC_subj04,FC_subj02,0.6303917945666685
311,plv,1-delta,FC_subj04,FC_subj02,0.7153087816979797
312,aec,2-theta,FC_subj04,FC_subj02,0.6169882846516496
313,plv,2-theta,FC_subj04,FC_subj02,0.7233354572293387
314,aec,3-alfa,FC_subj04,FC_subj02,0.556123875625024
315,plv,3-alfa,FC_subj04,FC_subj02,0.7171748252110407
316,aec,4-beta,FC_subj04,FC_subj02,0.5614284904014253
317,plv,4-beta,FC_subj04,FC_subj02,0.7458321417734071
318,aec,5-gamma,FC_subj04,FC_subj02,0.626695602179373
319,plv,5-gamma,FC_subj04,FC_subj02,0.7683278104261589
320,aec,1-delta,FC_subj04,FC_subj03,0.5949905989863912
321,plv,1-delta,FC_subj04,FC_subj03,0.7163860392463997
322,aec,2-theta,FC_subj04,FC_subj03,0.6626389352941399
323,plv,2-theta,FC_subj04,FC_subj03,0.7245995629958111
324,aec,3-alfa,FC_subj04,FC_subj03,0.5488245225949967
325,plv,3-alfa,FC_subj04,FC_subj03,0.7282634840849815
326,aec,4-beta,FC_subj04,FC_subj03,0.4656057471508709
327,plv,4-beta,FC_subj04,FC_subj03,0.757825914918451
328,aec,5-gamma,FC_subj04,FC_subj03,0.6539127199355512
329,plv,5-gamma,FC_subj04,FC_subj03,0.737554463263381
330,aec,1-delta,FC_subj04,FC_subj04,0.9999999999999998
331,plv,1-delta,FC_subj04,FC_subj04,1.0
332,aec,2-theta,FC_subj04,FC_subj04,1.0
333,plv,2-theta,FC_subj04,FC_subj04,1.0
334,aec,3-alfa,FC_subj04,FC_subj04,0.9999999999999999
335,plv,3-alfa,FC_subj04,FC_subj04,0.9999999999999998
336,aec,4-beta,FC_subj04,FC_subj04,1.0
337,plv,4-beta,FC_subj04,FC_subj04,0.9999999999999998
338,aec,5-gamma,FC_subj04,FC_subj04,0.9999999999999999
339,plv,5-gamma,FC_subj04,FC_subj04,1.0
340,aec,1-delta,FC_subj04,FC_subj05,0.5875501878012616
341,plv,1-delta,FC_subj04,FC_subj05,0.761782335696278
342,aec,2-theta,FC_subj04,FC_subj05,0.6247544258809579
343,plv,2-theta,FC_subj04,FC_subj05,0.7452172917503463
344,aec,3-alfa,FC_subj04,FC_subj05,0.6118854983872944
345,plv,3-alfa,FC_subj04,FC_subj05,0.7490748589043945
346,aec,4-beta,FC_subj04,FC_subj05,0.5291828354459015
347,plv,4-beta,FC_subj04,FC_subj05,0.7591453184652905
348,aec,5-gamma,FC_subj04,FC_subj05,0.6841677935770951
349,plv,5-gamma,FC_subj04,FC_subj05,0.7669827066284375
350,aec,1-delta,FC_subj04,FC_subj06,0.6299288055704395
351,plv,1-delta,FC_subj04,FC_subj06,0.7444080514117557
352,aec,2-theta,FC_subj04,FC_subj06,0.6370522454990178
353,plv,2-theta,FC_subj04,FC_subj06,0.7366961457024886
354,aec,3-alfa,FC_subj04,FC_subj06,0.566339402290234
355,plv,3-alfa,FC_subj04,FC_subj06,0.7306171328615467
356,aec,4-beta,FC_subj04,FC_subj06,0.5813789602014401
357,plv,4-beta,FC_subj04,FC_subj06,0.7501688945494762
358,aec,5-gamma,FC_subj04,FC_subj06,0.6475021281476077
359,plv,5-gamma,FC_subj04,FC_subj06,0.73086695645861
360,aec,1-delta,FC_subj04,FC_subj07,0.6444881455259018
361,plv,1-delta,FC_subj04,FC_subj07,0.7269202192825263
362,aec,2-theta,FC_subj04,FC_subj07,0.6473151733619358
363,plv,2-theta,FC_subj04,FC_subj07,0.6978822155518067
364,aec,3-alfa,FC_subj04,FC_subj07,0.6111496175603968
365,plv,3-alfa,FC_subj04,FC_subj07,0.7000129438975036
366,aec,4-beta,FC_subj04,FC_subj07,0.5948749225139018
367,plv,4-beta,FC_subj04,FC_subj07,0.7404411326042056
368,aec,5-gamma,FC_subj04,FC_subj07,0.6694711905196364
369,plv,5-gamma,FC_subj04,FC_subj07,0.7647817999932327
370,aec,1-delta,FC_subj04,FC_subj08,0.5767372601893886
371,plv,1-delta,FC_subj04,FC_subj08,0.7006083120295492
372,aec,2-theta,FC_subj04,FC_subj08,0.5962446945165137
373,plv,2-theta,FC_subj04,FC_subj08,0.7068510467285887
374,aec,3-alfa,FC_subj04,FC_subj08,0.6211648575993334
375,plv,3-alfa,FC_subj04,FC_subj08,0.7282429015886365
376,aec,4-beta,FC_subj04,FC_subj08,0.5959717192146213
377,plv,4-beta,FC_subj04,FC_subj08,0.7547963740193845
378,aec,5-gamma,FC_subj04,FC_subj08,0.638187351587053
379,plv,5-gamma,FC_subj04,FC_subj08,0.735804409804918
380,aec,1-delta,FC_subj04,FC_subj09,0.5878143311349161
