ROIabbr,ROI
VA_L,Thal_Ventral_Anterior_L
VLa_L,Thal_Ventral_Lateral_Anterior_L
VLp_L,Thal_Ventral_Lateral_Posterior_L
VPL_L,Thal_Ventral_posterolateral_L
Putam_L,Putamen_L
Caud_L,Caudate_L
NAc_L,Nucleus_Accumbens_L
Gpe_L,Globus_pallidus_externalis_L
Gpi_L,Globus_pallidus_internalis_L
Amyg_L,Amygdala_L
SNpc_L,Substantia_nigra_pars_compacta_L
SNpr_L,Substantia_nigra_pars_reticulata_L
VTA_L,Ventral_tegmenta_area_L
MB_L,Mammillary_bodies_L
Septum_L,Septal_nucleus_L
Nb_L,Nuclei_basal_L
AV_R,Thal_AnteroventralNucleus_R
CeM_R,Thal_Central_medial_R
CL_R,Thal_Central_lateral_R
CM_R,Thal_Centralmedian_R
LD_R,Thal_Laterodorsal_R
LGN_R,Thal_Lateral_Geniculate_R
LP_R,Thal_Lateral_Posterior_R
L-Sg_R,Thal_Limitans_Suprageniculate_R
MDl_R,Thal_Mediodorsolateral_parvocellular_R
MDm_R,Thal_Mediodorsomedial_magnocellular_R
MGN_R,Thal_Medial_Geniculate_R
MV(Re)_R,Thal_Reuniens_R
Pf_R,Thal_Parafascicular_R
PuA_R,Thal_Pulvinar_anterior_R
PuI_R,Thal_Pulvinar_inferior_R
PuL_R,Thal_Pulvinar_lateral_R
PuM_R,Thal_Pulvinar_medial_R
VA_R,Thal_Ventral_Anterior_R
VLa_R,Thal_Ventral_Lateral_Anterior_R
VLp_R,Thal_Ventral_Lateral_Posterior_R
VPL_R,Thal_Ventral_posterolateral_R
Putam_R,Putamen_R
Caud_R,Caudate_R
NAc_R,Nucleus_Accumbens_R
Gpe_R,Globus_pallidus_externalis_R
Gpi_R,Globus_pallidus_internalis_R
Amyg_R,Amygdala_R
SNpc_R,Substantia_nigra_pars_compacta_R
SNpr_R,Substantia_nigra_pars_reticulata_R
VTA_R,Ventral_tegmenta_area_R
MB_R,Mammillary_bodies_R
Septum_R,Septal_nucleus_R
Nb_R,Nuclei_basal_R
